sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
48,13,03,1129.84,562.86,1029.25,1.52
44,53,03,1494.54,828.17,1304.39,1.76
1,12,03,1876.57,847.08,1698.67,1.6
40,93,03,1972.88,1120.02,1736.09,1.63
70,106,02,2198.51,674.32,2110.91,1.32
45,43,03,1594.5,782.57,1452.85,1.51
55,103,02,2930.55,1162.09,2747.42,1.41
46,33,03,854.88,613.54,726.45,1.69
36,43,03,2724.37,1044.83,2558.37,1.41
32,83,03,1981.37,678.58,1880.07,1.38
9,92,02,1926.83,1058.95,1710.54,1.6
31,93,03,1062.23,726.08,928.5,1.62
35,53,03,1814.39,967.98,1612.71,1.61
42,73,03,303.7,313.32,246.67,1.71
34,63,03,1764.05,776.46,1645.66,1.42
62,104,03,2176.06,979.23,1998.24,1.5
32,93,02,1897.33,809.46,1756.28,1.48
36,80,02,1078.62,653.36,936.4,1.68
41,83,03,2878.38,969.09,2718.24,1.41
37,33,03,242.86,295.07,154.85,2.8
47,101,03,1395.08,692.25,1266.57,1.54
36,53,02,2116.77,1036.54,1907.81,1.57
26,19,01,1844.67,973.75,1678.52,1.5
22,59,01,2720.69,998.52,2591.73,1.34
39,13,03,1830.51,902.95,1668.37,1.51
25,29,01,216.79,289.96,133.2,2.67
38,60,02,1545.37,827.71,1380.04,1.6
20,79,01,1693.82,830.74,1556.96,1.49
59,5,03,3054.01,1025.04,2904.49,1.37
35,63,02,1766.0,1204.4,1511.93,1.69
71,63,02,141.81,311.19,53.1,3.34
24,39,01,788.65,686.0,595.18,2.12
73,43,02,2743.46,1441.27,2454.25,1.57
34,73,02,1108.06,592.69,996.79,1.58
39,50,02,585.14,531.41,426.53,2.26
3,5,02,1311.11,577.26,1219.29,1.43
33,73,03,1470.63,1329.75,1231.94,1.71
72,53,02,503.93,400.25,410.97,1.87
35,90,02,3249.26,1334.84,2997.85,1.49
76,13,02,3411.34,1647.29,3061.7,1.61
70,73,02,3067.53,1281.97,2846.57,1.46
6,49,03,1555.03,787.2,1405.14,1.54
5,59,03,2844.81,933.0,2729.6,1.31
2,89,03,2822.29,1279.78,2572.86,1.53
39,7,03,718.2,513.22,604.46,1.76
9,19,03,1829.5,807.75,1706.19,1.42
28,102,03,2173.86,1264.31,1889.47,1.7
7,39,03,1041.03,718.48,854.69,1.86
12,1,03,1158.52,696.91,1043.07,1.52
1,99,03,3462.26,1094.43,3287.3,1.39
91,26,01,3095.79,1560.99,2805.42,1.53
90,36,01,2717.53,1482.59,2476.69,1.49
54,44,02,897.26,702.79,681.63,2.13
12,69,01,866.12,486.67,772.93,1.58
15,39,01,592.38,643.02,415.15,2.22
53,54,02,1961.75,761.11,1815.27,1.5
13,59,01,2132.96,581.89,2048.68,1.34
57,14,02,3689.74,1650.2,3390.92,1.49
11,79,01,1692.4,1076.66,1469.14,1.65
107,101,03,277.72,286.48,190.59,2.5
71,64,01,825.55,489.7,720.14,1.67
80,64,01,558.72,384.37,472.35,1.76
84,24,01,1910.96,1424.46,1568.65,1.81
76,14,01,1471.22,632.07,1353.26,1.52
81,54,01,1928.98,1029.59,1706.09,1.63
50,84,02,1198.02,907.86,937.68,2.04
75,24,01,1612.84,976.46,1412.86,1.64
83,34,01,1416.49,658.02,1303.16,1.5
70,74,01,530.49,279.99,458.46,1.84
82,44,01,2082.33,1033.24,1892.04,1.54
73,44,01,2197.83,957.85,2048.55,1.43
78,79,03,2037.68,842.93,1902.11,1.43
76,99,03,625.67,399.77,495.89,2.2
77,89,03,1150.82,820.88,963.4,1.76
79,69,03,866.24,521.44,749.39,1.68
89,96,02,221.42,250.99,151.58,2.26
55,34,02,487.63,346.94,392.29,2.06
91,9,03,2531.69,1214.24,2313.13,1.5
84,8,02,3808.59,1306.92,3603.55,1.39
56,24,02,1697.7,946.53,1482.85,1.69
18,72,01,2604.63,1117.35,2407.54,1.48
19,62,01,1790.09,721.86,1665.02,1.46
17,82,01,1393.0,677.82,1276.82,1.51
31,2,01,1678.1,738.8,1539.38,1.5
92,102,02,785.22,946.71,487.98,2.64
22,48,03,862.02,654.28,724.25,1.73
29,43,01,640.27,511.56,513.56,1.88
28,53,01,934.28,549.79,828.93,1.61
20,68,03,2328.46,1018.43,2144.7,1.49
24,93,01,772.38,437.09,706.25,1.46
